P63101	YWHAZ
J3QPJ0	UNC79
Q3THB7	CYTIP
Q5DTR2	ARNT
Q641P2	STAU1
Q66JZ1	ZFP619
Q05CG5	PJA1
Q5XK33	SDHC
Q99P03	ADRB2
A0A0A0MQ87	SOS2
A0A0B4J1P8	TRBV13-1
A2AIZ4	TCTEX1D1
A7MCW6	BRD1
D6RGB4	CNTROB
E0CZA8	R3HCC1L
Q3UVM5	MAP3K3
Q8C066	RUNX1T1
A2A550	FBXL20
A2AE98	WDTC1
A2AP78	HMGB3
B0QZL8	URGCP
B1AW62	SERPINA7
B4YB47	DLK1
F6U529	GLS
F6VU93	PPIP5K1
F6X8K3	WDFY4
Q24JN6	CYPT15
Q5SWB0	SGCA
A0A0A6YXB5	PCDH15
A2AKD7	SNTA1
B0R081	TBC1D20
F2Z434	XYLT2
F6QH34	STK31
H7BX53	1810041L15RIK
J3QNA6	GM8906
J3QPD4	HCFC1R1
Q3TUH2	DDC
Q3U307	CDK2
Q3U6I5	C1QB
Q3ULG7	MPHOSPH8
Q3UWG5	CD81
Q3V2A6	INHBC
Q3V3Z1	PRPF18
Q8BT86	PSRC1
Q8CEV4	2900052L18RIK
B0QZP6	TMC8
E9PWF0	THBS3
E9PYU8	SMURF1
E9Q255	1810032O08RIK
E9Q4E0	5031410I06RIK
E9Q4Y0	SP100
E9Q821	ANKRD13D
E9Q9V1	ARID4A
Q3T9N0	APBB2
Q3TLS6	MPZL2
Q3TNI0	TRPC4AP
Q3TRQ0	MYO9B
Q3TYS9	OPLAH
Q3U1X5	HMG20B
Q3U2A3	CHUK
Q3UEY3	RAB3GAP2
Q3V2W5	BCOR
Q9CYS4	APLP2
A0A0A6YXG1	MAST4
A2ASS3	PIP4K2A
A3KG54	GABRR2
A6PWX8	UQCC1
D3Z632	AKTIP
F6QYD2	DNAJC21
O35898	SP100
Q3TNR3	HSPA12A
Q3UFJ0	MMP3
Q3UNY1	GM16833
Q3UVE8	KAT2A
Q792T1	ELP
Q810V1	TTC7
Q8C876	LAMP2
E0CXL0	INSIG2
E0CXM5	FXYD5
E9PZ21	RBMS1
E9Q373	VMN1R238
E9Q528	GM17175
E9Q6A2	SERPINE3
E9Q811	STK11
F6S4K9	EPB41
H7BX38	CXCL12
A0A0A6YVT9	ADCK3
Q8BY42	ZRANB3
F6RDR0	ADD1
Q3TLN7	CAR9
Q4KMN2	LGI4
Q8BQ11	MTCL1
Q8CI80	TFPI
X2BZ14	SETDB2-PHF11
F6T220	DOLPP1
M0QW48	METAP2
Q3TNU2	TRA2A
Q7TPY5	PRAMEL7
Q7TSA7	PPP1R9A
Q8BMW6	ADGRA3
Q8BRX5	NBEAL1
Q8BW71	ZBTB38
Q8BZR7	LGR4
Q8C2E6	SLC16A1
Q8CE89	CYB561
M0QWD9	ADHFE1
M0QWJ4	ANKDD1B
H3BKK9	AKAP7
K7N6K8	SULT2A7
H3BJC4	ERG
A0A0N4SV76	CHMP3
A0A0N4SW21	ABTB1
A0A0N4SWA4	FOXJ2
A0A0N4SUQ3	RASGRP4
Q9CVB3	LSM11
E0CZE6	TMEM57
Q4FK34	CDKN1A
Q9ESZ5	ACACA
Q9JJA0	GSTZ1
E0CYK8	GTF2H4
Q8K4Q1	PAX1
Q9CWL0	CPSF3
D6RE33	EDC4
D6RJ42	FOXRED1
F6ZAF2	GM17611
Q05CE1	GM3912
Q05DM4	CAR6
Q3TRL6	MCC
Q499D4	DKC1
Q9ER78	ST6GALNAC
Z4YMP4	HACD4
A0A0B4J1H6	IGKV2-137
A2A958	C87977
B5DC72	NA
D6RE53	ERI2
D6RHN7	LNX1
F6V4U2	ACSM2
F6YD18	0610009L18RIK
F6ZWR8	PTPN4
F7B179	MED27
F7BJW2	MPND
F7CR30	EPB41
Q05BC5	ARFGAP1
Q62206	SCN1A
Q8VHB3	PSMB3
Q9CSB7	COL3A1
Q9QZY0	RP1
V6BQR3	EPB41L3
A0A0A6YWX6	UQCRC1
D6RH59	TTC38
F6XAI7	EFCAB7
F6Z4F8	MTHFR
F7D818	C230062I16RIK
Q7TMP4	GLOD4
A0A0A6YW38	GM28870
A0A0A6YXT2	IGHV1-36
A2ADZ2	TXLNA
A3KGL2	DHDDS
D3YVB4	RPS15A
F2Z429	TDRD6
F6UPZ3	LRRC42
F6Y3H4	GM17387
F6Y765	WHSC1
F7CG42	PUS7
J3QNK5	SAP130
Q6NV89	3830417A13RIK
A0A0A6YWE8	FAM178B
A0A0A6YWF4	EXO1
A2A4I9	AOC2
A2AAX0	KLHL15
A2AHX9	BCL2L1
A4QPE6	CAPN3
A2AKV2	ATP5C1
E9QN70	LAMB1
A2A8R1	ZCCHC11
E9PVG0	GM9008
E9PYL5	VMN2R7
E9PZS9	VMN2R101
E9QAK3	KLHL6
F6Q7Q7	FBXO10
G3UXX0	ADAMTS10
Q3TYB8	OTUB2
Q3UET8	MED16
Q3ULJ9	RANGAP1
Q3UVZ7	GM10452
Q3UXJ7	PDZRN4
Q3UZC4	TTC4
Q5XPV7	PF20
Q9D9S8	1700029P11RIK
B0QZJ0	TNFSFM13
E9PUC6	SERPINA1F
E9PXV0	4930533K18RIK
E9PXX5	MAPK4
E9Q1C0	GM9742
E9Q1C5	IFI27
E9Q495	ARID1A
Q3TSA5	PABPC4
Q3UBC6	HMBS
Q3UHL0	GTF3C1
Q3UQ27	QRFPR
Q3UWY6	PTPRO
Q3V2I4	PKD1L2
Q3V2Z5	UNK
A2A5E8	ZFP385C
B7ZN09	MS4A10
E0CXI9	NDOR1
E9Q3H4	SUSD1
E9Q9I0	GPR137
F6QLU8	SH3BGR
G3UX49	GNE
Q3TA29	TRIM34A
Q3TQ62	DGCR2
Q3TTF7	RAB28
Q3TWV0	VIM
Q3TYX0	ST5
Q3U3Y7	PDE7A
Q3U7X8	COG1
Q3ULI0	MGA
Q3UWF6	KCNQ1
Q9CPZ7	SLC16A9
B8YP88	PARK2
B9EIV6	PRAM1
E9PVB7	SATB1
E9PYS1	3110039M20RIK
E9Q4H9	ZFP414
E9QAJ5	TSPAN17
G3UWJ8	KPNA1
Q3TI27	PRPS1
Q3TPM7	DGCR2
Q3TUI6	IFT52
Q3TWF9	PSAP
Q3U1R1	TET2
Q3U5R8	IMPA1
Q3UP30	GM10521
Q3V177	CHD2
Q8R4B1	DSCAML1
V9GWV3	NAV2
E9PYP0	PDE8B
E9Q7R9	CFAP43
G3UWW9	ZNRF1
Q3T9X8	SLC25A51
Q3TF84	LRRC59
Q3TPD9	MAOA
B2RQ13	PALD1
B2RWS4	NAV2
Q9CRG4	TBC1D15
A0A087WRA8	CYP11A1
E9QPF8	MPHOSPH9
V9GZH3	WT1
D3Z3L9	GM11011
D3Z4V8	AKT1S1
D3Z6J6	ADAT1
Q6PHA2	AGO2
Q8CBL0	TFAP2B
D3YUK5	D630023F18RIK
D3YVK6	TIMM10B
D3Z1C6	DENND2A
D3Z2T8	ZFP963
D3Z7G7	ZFP882
Q5SXG9	CHRNE
Q6DIC8	DGKK
A2NTK3	12M1
J7H3M8	ELAVL4
M0QWB3	GIN1
Q8C7I1	TMEM203
A2VDF8	DYNC1LI1
H3BKW6	PCCA
O88257	ZFP68
Q570Z0	HNRNPM
Q7TMK7	GM3696
Q8R1X0	BC022960
H3BJM3	ARHGAP39
H3BL07	PON3
Q6NV93	ZBTB25
Q8CB99	RICTOR
S4R2F4	PSG19
A1L0V4	HIST1H3I
Q588F5	KLRA17
S4R1C8	CCND3
Q80T82	GM22
A0A0U1RNZ3	4931406P16RIK
Q3U7C1	TAPBP
A0A0G2JDE3	ADGRL2
A0A0G2JFE1	HAX1
A0A0G2JG05	ZNHIT6
A0A0G2JG91	KCNT1
A0A0N4SW60	OLFR325
A0A0A6YVU7	FLG
Q8C967	GM10544
Q9D005	2610301B20RIK
Q8C5Y7	4930555G01RIK
Q9CS69	SLTM
Q9CYV4	ZFP329
Q9JHP2	ST6GALNAC
B1AS43	CYB5RL
B2RXR3	CNOT1
F6UPY1	PAPD5
F7CHD9	STK19
J3QM91	GM21887
O89081	IPO4
Q8R2A1	V1RE10
Q9CUM6	4930438A08RIK
A0A0A6YW08	CAMKV
A0A0A6YX99	CEP170
A1YYN9	FGFR2
A2AU61	RALY
B7ZCU2	ABI1
F6WEZ7	GM21973
F6X3X7	UGGT2
F7D1U6	CCNH
Q569V8	NR2C2AP
Q5SXZ7	INTS2
A2ALN9	GM6377
D6RFB7	2700029M09RIK
F6WTR5	GM11146
F6Z247	WAC
F7ANZ2	ARRDC1
F7D439	ASL
Q05DI2	INPP5K
Q3UZS6	ZFP51
D6RIQ3	PHYHD1
E0CY74	C130026I21RIK
F2Z3Z0	MED7
F6VSY0	HMCN2
F6YK70	DNAJC1
F6YWB5	TMEM256
Q5SVT2	TRIM16
Q811J9	MYH9
Z4YKK6	CEP112
A2A5D4	STAT5A
A2A653	BPTF
F6X9U9	GM11060
F6ZX53	ITSN1
F7C0F2	BCAS3
J3QPZ5	CFAP73
Q5EBI8	ATP5K
Q8C3J6	BC107364
Q8CBP8	PRKACB
Q9CY15	MAD2L1BP
E9PZB0	ERLIN1
E9Q1A4	ASTE1
E9Q423	DYSF
E9Q8X6	SLC19A1
H9KV11	MCMDC2
O89073	RPLP0
Q3UEN0	CHRD
Q3UI96	TSC2
Q3UWM1	SELP
Q3UYM3	TESK2
Q5SX76	P4HA2
Q8CGB7	LIMCH1
B7ZMU5	RXFP2
B9EKB5	BAZ2B
E9PZ53	NAA16
E9Q343	GPR137C
E9Q748	SLPI
E9Q9X1	DST
G3UXR0	LLGL2
G3UZ67	PAIP1
Q3TG88	NCOR2
Q3TXU6	CIZ1
Q3U7N9	FLNA
Q3UL03	NSD1
Q3UYZ3	5930411N13RIK
E9Q8S5	MAST3
F6S5B6	CIZ1
G3UWY4	COG4
G3UYL6	GSTT3
Q3TBS5	SCAF8
Q3TR59	UTRN
Q3TU64	COL1A2
Q3U3Z1	E330020D12RIK
Q3U9J9	PRDX1
Q3ULL2	BMI1
Q3UQQ0	CACNA1S
Q3UZ15	GM19313
Q3UZV5	RALBP1
Q3V3X5	C130036L24RIK
E0CX18	PRKAG3
E9PXX8	MACC1
E9Q4X4	VMN2R11
E9Q995	R3HDM2
G3UZH5	TRAK2
G3UZK5	KPNA1
Q3TLV0	SLC12A4
Q3TSH1	4833422C13RIK
Q3U041	RAD23B
Q3UFC3	D130043K22RIK
Q3UQT1	RBL2
Q3UUI1	NLN
Q3UYF9	GNAZ
Q3V2D0	LONP1
Q3TIP0	PSMD2
Q3TV91	NDUFV3
Q9CTZ9	TTC1
B0LAD9	COL6A1
F6RF61	CTU2
Q2M2Q1	RLN1
Q3TBX2	TNFSF12
Q3TBY8	NCF2
Q3TIL4	GOLPH3
Q3TUT9	SFMBT1
Q4TU92	RHOX1
F6TH61	USP48
H3BKP2	SCNN1A
Q3TU63	PTPRE
Q8BJF6	TRAPPC12
Q8BTD6	SLC18B1
Q9QXX5	SLC5A1
A2A4A1	DNAJC24
F6TN13	RNPC3
O08929	CEA14
Q7TQI2	DYSF
Q8BMB4	CPED1
Q8BPA0	H2-AB1
Q8BSB6	NEK1
Q8BUA6	NUP155
Q8C8V3	A930011G23RIK
Q8CJ15	IDS
Q8K256	RBMS3
Q99J68	BCL9L
Q8R407	MLH3
Q9D9E1	NFX1
V9GXB4	SPATA17
A0A087WRY4	NDUFS1
A0A087WSB8	HMGN3
A2AEF3	PSRC1
E9QM76	PGPEP1L
Q3U2A1	ITSN1
Q7TMQ0	SLC28A2
Q8C5E7	SNX5
A0A087WP43	MSH3
A0A087WP73	DGKD
A0A087WQP6	1700017N19RIK
D3YVN4	CCDC63
D3YYF3	ALDH2
D3Z7I6	NUMB
D6RCV2	HAUS8
H3BJS5	CTAGE5
I1E4X1	STX5A
Q7TRP0	OLFR681
Q8BHY4	EDRF1
Q8BJ16	RHBDF2
Q8BV94	FRMD3
Q8C0U2	OLFR212
Q8C7X9	ITPR1
Q9CY49	TBL2
Q9EPS8	VMN1R58
Q9R1Z9	CD80
A0A075B5U3	IGHV1-62-1
A0A087WQU4	MRPL3
B0G0X9	KIF26B
D3YV61	TSPAN5
D3Z4V3	EPN1
D3Z756	NEIL3
K3W4P5	IMMP2L
Q3TR80	AKAP13
Q5R1G0	TRADV15D-2
Q6IR16	TLE2
Q80TT6	RHOBTB2
Q8BR19	GM20115
Q8C4A8	GM34569
Q8CA98	DFFA
Q8R594	SBNO1
Q91W87	CYP2D22
Q9CS73	AKAP9
D3YVS8	ARAP1
D3YY85	ZMYND11
D3Z0V3	RPGRIP1L
D3Z5C3	CYTH2
Q3UW32	ANP32B
Q684J3	SLC6A8
Q6PAS4	DCHS1
Q9DD04	ARF4
A2AII2	BDNF
D3YZN9	VILL
D3Z0I6	SLC19A1
H3BJ68	FOXP1
Q3UPU8	ACAA1A
Q921R6	RAD18
H3BKP3	STX5A
Q9QZ83	ACTG1
Q1JQ89	DSPP
Q3UYT2	PIAS3
A0A0J9YVB2	KLRG2
A0A0G2JE61	IGLJ1
A0A0N4SVF7	RC3H2
A0A0J9YUG1	ROGDI
A0A0K1W397	CYTB
A0A0N4SUP9	MAGI1
A0A0N4SV57	ANXA4
F6YTJ4	ANKRD13D
F7CDR2	NFIA
K4DID5	SKINT5
Q5SRW8	VPS54
Q8C4J3	PRKACB
Q9CXL4	PTCHD4
B8JJ68	2310061I04RIK
D6RJ72	WDR61
F6WPM5	MCF2L
F6Z494	SUZ12
F8VPX6	SPEER4A
J3QQ30	PITPNA
Q3U1N6	TXNDC11
Q5FWX9	SLC13A4
Q9ERT1	TRH-R2
B1ARR4	CAR6
B1AXN5	RPS6KA3
E0CXU1	TLE3
F6QG63	SBF2
F6SBG7	JMJD7
F6UHR6	OSBPL9
F6WZD3	SLC5A11
F6Z1E7	UBAC1
G8CZ50	4930503L19RIK
Q3TTB3	SYNJ2
Q69ZG4	GPAM
Q8CBC5	GM9925
B7ZWB9	ENPP7
E9Q2N7	GBP2
F6PY46	NISCH
G3UY48	VMN1R112
H9H9T1	FAM107B
Q3TAS4	COX10
Q3TZ10	NCOR2
Q3TZU0	GM19863
Q3U6Q7	CCNC
Q3UA32	GALNT2
Q3UDN8	TRIM28
Q3UG11	CALU
Q3UNC2	4930412O13RIK
Q3V3K0	CEP85L
Q6DI64	FOXM1
V9GWX1	5330417C22RIK
A2AUZ1	ATP9A
D3YVA2	NCALD
D3Z5V7	FOXRED1
E9PWA7	ARPC4
E9PZT5	TNFRSF12A
Q3UWK6	A930006D01RIK
E9PUY9	ECI2
E9PX64	KIF26B
E9Q3L6	4930579F01RIK
F6Q454	NR2F6
Q3TJV7	RNF13
Q3TSS9	CDK5RAP3
Q3U114	NFYC
Q3UE06	NPLOC4
Q3UGI1	NADK
Q3UHB2	TSC2
Q3V392	QRFPR
A0A087WNN1	ALS2CR12
A8DUL0	HBBT1
F1ABR8	AGER
F6SUE5	CASP4
L7N2B0	GM8220
Q5XQM2	H2-AA
Q80UC0	GPR155
Q80T33	DRD1
Q8BJ04	BARHL1
Q8BPC7	APP
Q8VE45	DDX42
E9QKR1	ENAH
Q3KNZ8	KCNK7
Q80UB3	ADGRG5
Q811N1	ENV
Q8BHP1	BC051142
Q8BRP6	BAZ2A
Q8BWJ8	SPTB
Q8C452	GM7628
Q8CEW1	HMGN1
V9GXE9	TRPS1
A0A087WSF1	ZFP383
A4VCI8	KBTBD13
E9QLH4	TRIM9
I7GPT0	TRAF3IP2
Q2M2Q8	MSI2
Q5RJV4	PGM2
Q6P9P9	ZFP655
Q80Y35	NUMA1
Q5R1A9	TRAV18
Q6Y949	DMRT1D
Q78T58	ARHGAP9
Q8BR16	ANKRD12
Q8C6Q4	AOX3
Q8CEH3	SARS
Q9CRU5	PRRC2A
Q9D9N1	IQCF4
A0A075B5T7	IGHV1-7
D3YVL1	MOV10
D3YY32	B3GAT2
D3Z157	IFT80
D3Z2N0	PXYLP1
D3Z3T3	GFOD2
M0QWY6	CD200R1
Q6A015	CNOT3
Q6WJ08	GABPB1
V9GXT9	ZFAND1
H3BKJ7	STX5A
Q6J4Q0	KLF13
Q6NVC1	CHKB
Q6WJ11	GABPB1
Q8BTM1	KCNK13
D3YZ59	MTUS2
D3Z342	SPG7
D3Z5F7	GM20521
H3BJT8	PID1
I6L9D7	VWA3B
Q3TY79	TFDP2
Q80UZ3	ZFP639
Q9CVF3	ZFP219
H3BK50	PPP2R1B
H3BL12	XKR6
F8WI04	PGS1
F8WIJ0	SLC12A4
A0A0J9YU89	TCF4
A0A0J9YVA9	POLN
A0A0J9YUQ8	GSN
Q64468	ST8SIA1
Q91XB2	MRPL3
A0A0N4SVK4	LRRC61
A0A0N4SW86	ARL6IP1
P97907	TFAM
Q8K1B1	NAV1
Q60521	MAP2K6
Q91YJ4	MRPL20
Q9CT17	SRSF11
Z4YKD9	TNNT3
E0CYS2	KCNAB2
Q8R2J3	ATRC2
Q9ESR1	RHEB
D6RET9	CKMT1
D6RFU6	CCDC9
D6RH55	COPA
D6RHK4	TNFRSF8
E0CY61	TRMT10A
Q05AH2	ZCWPW2
Q497Q3	TEX21
Q6UY51	OPRM1
Q8R1H6	CUEDC1
Q91Y24	MLLT3
Q99KF5	HPRT
Z4YMD3	RNF208
A0A0A6YX66	IGHV1-20
A2A3W1	42619
A2BH82	STRBP
B1ATD1	LCP2
Q9CS01	IFNAR2
J7PCI3	IFGGB10
Q7TMV8	GBP6
A2AK61	OLFR228
A0A0G2JDR6	LRRFIP2
A0A0A6YXJ3	MAP9
Q7TPV0	GTF2H2
A6H5W3	OLFR374
E9PYX5	ATP13A2
E9Q7B0	P4HA1
Q3U7P0	CTSD
E9PX50	SLC8A3
G3UYC4	ZBTB42
Q7TR33	OLFR1153
Q8BIR8	ABCA14
Q91WW6	TAF4
H3BKK4	PLCH1
A0A087WQA8	COPS5
Q8BRD0	ABCC1
Q3TEJ5	HECTD1
D3YXH8	ITGB2L
Q762C9	MUTYH
D3YVY3	IDH1
A0A0U1RPB0	TIAL1
A0A0U1RNU9	ATP6V1B1
A0A0G2JGV5	TCRG-V5
A0A0G2JEJ8	MAPK10
A0A0U1RNS3	ANPEP
A0A0R4J0W1	TAS2R136
A0A0R4J0C8	ERI1
A0A0R4J1I5	FOXP4
Q7TT42	TRYPSINOGEN
F6UP77	AMDHD2
Q8BS84	ARID2
L7MU51	OLFR1249
Q8C0C2	USP11
Q5NC59	OLFR311
Q3UXG5	SCD1
K7N5P3	OLFR906
Q3TE63	PPIA
E9PWA1	U2AF1L4
G3UY21	SLIT2
Q3UGA8	PPAT
E9Q1F6	TNN
Q3MI36	OLFR447
Q4FZE8	MUP1
Q8C4K3	TNFRSF18
Q8BRF4	SNCAIP
Q8C062	LRRFIP2
D3YZ98	PIK3C3
Q7TRS1	OLFR583
Q8CIJ9	ATP13A2
D3Z7W5	CD27
Q14BW7	DNASE1
H3BK84	PRKAR2B
U5LHT6	TLR4
Q7TSI4	POLR3A
A0A0G2JFB1	RTP3
A0A0R4J0F9	OSBPL10
Q9D153	CDKN2C
F7DEE2	FANCC
Q9CSH0	HNRNPLL
Q7TSJ0	DNMT1
F7C386	PISD
A2BI84	EBF4
A0A0G2JDI9	ABCD3
A2CG76	EHMT2
Q0VJ56	USP42
E9PXR4	RAB40C
Q3TXM1	TAP2
E9Q203	SORCS1
G3UXL5	PSMD11
Q3U890	HARS
Q3TA24	TM6SF1
Q810P7	MPP7
Q7TS16	OLFR286
E9QMB7	NAA30
Q7TS26	OLFR247
Q8C6D7	SBPL
C5NTX9	NEU4
D3YV89	MMP27
S4R2R4	RNASEL
A0A0U1RP46	CREBBP
A0A0U1RPT6	4930433I11RIK
A0A0R4J098	ZFP326
A0A0R4J0N8	CXCR4
A0A0N4SVL8	MMRN1
A0A0R4J0G8	RNF122
Q5SZZ8	OLFR1362
Q5NCJ4	RAPGEF6
Q05B95	GM5416
E9Q7C5	OLFR69
A0A0A6YW01	LBR
S4R2G6	ARHGAP32
Q0VDY4	OLFR1382
A0A0G2JDR3	IGKV9-124
A0A0U1RNN7	EMSY
A0A0U1RNF2	LCMT1
A0A0U1RNY6	ZFP507
A0A0J9YV32	GM43796
A0A0U5CJG6	TNLG6A
D6RFN6	CASP2
A0A0N4SV29	FANCD2
F6ZKC7	CSTF2
Q4FJS7	F10
D6RFV1	ASZ1
Q9CSI0	DDX55
B7ZN91	ITGAL
E9QKZ7	ZFP638
Q6PEN2	GBP6
A0A0R4J8U2	OLFR1532-PS1
F8WIR1	CTSD
Q7TQR8	OLFR1436
Q8R0L5	ATP2C2
D3YYN1	NAA60
H3BKL7	DNASE1
A0A0U1RPJ2	OLFR43
Q8C5P3	NOS3
Q80VF8	CAD
A0A0N4SV66	H2AFJ
A0A0R4J1G0	TCF7L2
A0A0R4J233	42623
Q6W032	OLFR1432
Q9DC49	RPS2
B2RX06	SLIT3
J3QNY6	ABCB11
B1AQD4	RAB34
F6VQX8	GM20547
L7N1X5	OLFR905
Q3UCW4	CTSD
Q09HN3	MAPKAPK3
Q3UL99	EIF3A
Q3UK65	COPS2
Q3UPQ9	IL13RA1
Q3TRD0	EXOSC10
Q5PPQ7	CORO1C
Q8VCJ2	USP20
A0A087WPB6	GRAMD1A
D3YVJ5	USP46
Q3UBH0	PRNP
G8XSM1	LCN6
S4R1S0	SIPA1L3
Q78NA6	RAG1
Q6U1M1	KCNH3
A0A0U1RNI7	KLK8
A0A0R4J1Z9	GLCCI1
A0A0J9YUE7	OLFR1116
A0A0R4J1W9	TMCO5
Q4G0C2	PRSS3
B9EKD7	OLFR988
A2A9V9	KCTD2
A0A0U1RPK2	PPP4C
A0A0U1RQB4	ETFB
A0A0J9YMK6	TRPV6
Q7TST7	PRKCZ
Q50HX2	RAB14
A0A0B6VSG3	DEF8
A0A0U1RNL0	TDRD12
G3UX63	DNMT3A
Q3UV15	NFKB2
Q80TA2	MKIAA1720
U5LL15	TLR4
F6SH36	CADPS2
L7N1X7	OLFR738
Q3UCD4	LPL
A0A0R4J1C5	ATPAF2
A0A0R4J0Q8	ZBTB8B
A0A0R4J1N7	ANK1
P70276	SCN10A
S4R2N4	SIPA1L3
Q2NKW4	OLFR1009
D3YZU4	SHANK1
D3Z7P4	GLS
Q8BS89	USP9X
E9Q6I2	IL1RAP
Q3TNM0	ZFP638
Q3U2C1	MEIS3
Q3UV12	ATP2C2
Q9D5M0	POTEG
Q3U5V4	NFKB2
E9PZ66	OLFR620
Q3UM46	EIF3A
F7AXS1	PCNX3
Q91Z05	IGHG
F7CW32	ZP1
A0A0U1RNX8	BCL7C
Q9D9C1	ATAD1
O54985	CACNB4
D3Z0G6	RGS12
E9PUS9	OLFR779
Q3U4T5	PUM1
A0A0R4J024	XRCC4
A0A0A6YWE6	ASTN1
F6ZK01	PRTN3
Q5NCJ5	RAPGEF6
F8WGQ1	AEBP2
B9EKE9	DDX3X
Q3UHN1	SLIT3
Q9Z1V3	OLFR46
Q3TCH2	UCHL1
A0A0R4J0E3	POLN
A0A0R4J1P6	TEX35
A0A0U5BC76	LC
Q8VFB8	OLFR197
A6H6F3	OLFR1036
F7BL62	OLFR1220
Q3UQU1	CASP8AP2
A2ASV3	OLFR1018
Q3UD20	REXO2
E0CX35	MFSD4A
E9PVB9	MYO1H
Q3UB66	RAB1A
Q3V3U1	LARS2
O55190	DUB-2
I7HM39	SERPINB6E
Q8BWR3	TUBGCP4
A0A087WRT4	FAT1
D3YZT0	RPL9
Q8CGT9	AGO2
F8WIG8	MFSD4A
Q7TRV0	OLFR485
Q6ZQH5	KCTD5
Q78GU9	CUL5
S4R2S8	ANK3
A0A0U1RNY9	NFATC2IP
A0A0U1RNG8	KCMF1
A0A0R4J094	FAHD2A
A0A0G2JFZ3	IGKV19-93
A0A0R4J112	EIF4G3
A0A0U1RNV5	OLFR1507
A0A0R4J0H3	RBP3
A0A0R4J1Z4	POU2F1
A0A0N4SVQ3	VMN1R41
A0A0R4J096	RORC
Q3ZB05	ACR
A0A0R4IZX2	SLC9A3R2
F6VIG0	RMND5B
Q91WL7	DNASE1
B0QZL1	ENO1
Q69ZG5	ARID2
E9Q8F6	OLFR172
Q3UI55	LRP5
D3YWS2	EML2
E9Q9T1	LRRFIP1
Q3TAS8	DPYSL3
Q8BQ03	MCM5
Q05CM5	EIF5
Q8CET8	ARID2
D3YVV3	ANKRD29
Q8BZ65	PGM3
Q9JL40	ABCB8
Q80VQ4	CNGB1
Q571K0	DLG1
Q6UAH4	OLFR90
Q78E61	TAP1
A0A0U1RQ97	BCKDK
B7ZNK5	USP48
F8VPN3	GM5160
A0A0R4J0R8	LECT2
S4R2T4	RBM5
A0A0R4J0E5	NXPE2
B7ZN90	ITGAL
Q3UI88	FANCC
D6RHM6	ARFIP2
F7B6A4	KCTD17
A0A0A6YXD1	EHMT1
Q7TRS4	OLFR574
Q3TH84	PGRMC1
Q3UG56	FDX1
Q3ULJ5	PSMD3
E9PYK6	OLFR1410
Q3TA47	ALAS2
Q3U630	TARS
A2P1G9	IGKC
Q3TLH2	USP28
Q5U4G4	PLPP2
Q9CVU0	ANKRD60
Q7TQR0	OLFR1471
D3Z388	FBXL3
A0A0N4SVU0	ZFP638
A0A0R4J055	DNMBP
A0A0R4J1X8	TRA2B
A5D8Y7	TNFRSF13B
A9C497	MUP19
Q6ZQD4	PCDHA3
A2AH60	KLHL8
Q64483	LDHC
F8VPR5	CREBBP
F7A8L1	VARS2
Q3U6P1	ABCF1
E9PXB8	OLFR1118
G3UXB4	CTU2
Q3TN91	ABCA3
E9PUD3	ANKS6
E9PUE8	ABCC9
F6QVZ8	OLFR1471
E9Q4N9	VEGFA
Q3U0V3	ANKRD13A
A0A087WNT4	SSPO
Q8BXE6	SEC14L1
Q7TQW7	OLFR1316
Q8CD98	PFKL
D3Z0Q5	TGIF1
D3YUG6	CORO1B
B6ZCE5	PRTN3
A0A0U1RP63	NCR1
Q9CT20	GJA1
A0A0R4J0K0	SPRED3
A0A0U1RPV5	FBRS
A0A0G2JEN2	ZCCHC4
A0A0N4SUJ3	NAALADL2
B7ZP42	CASK
Q3UTZ0	FZD6
Q6W083	OLFR179
A8Y5P0	TTPA
P97483	ITGB3
A0A087WSL6	SRCAP
Q3U173	PREX1
B2RRG2	OLFR556
Q5U628	RAB2B
Q8C1V4	KARS
Q8K2R2	ATP1A1
Q80U69	MKIAA0172
Q810L8	FZD7
Q8R1G3	ALAS2
Q8C4S5	COL11A1
Q6UAH2	OLFR92
Q8BTJ1	PSAT1
Q5CZX0	TRP63
A0A0G2JDM9	PLXNB1
A0A0U1RPG8	KCTD14
A0A0R4J194	CACNB1
F8VQI7	OLFR624
S4R240	CCND3
F6WV69	GIT2
Q5DU34	ANKRD28
Q3TD11	ZFYVE16
Q3ZB04	ACR
E9PUG3	ANKMY1
Q920Y7	OLFR107
F6SLJ2	GIT2
Q8R041	CCK
A0A0A0MQD5	SHANK3
Q7TRL7	OLFR748
D3YZ92	PGC
H7BWX3	SRRM3
Q920Y9	OLFR102
Q78KL9	REXO2
F8VPJ8	OLFR67
Q6UAG0	OLFR104
A0A0U1RPB2	TJP1
M9MMK4	OLFR329-PS
A0A0G2JGX1	LTF
A0A125T908	IGK
D6RIL6	IDH2
A0A087WQM9	SERPINB5
D3YY94	STX2
E9Q4T9	TMPRSS4
Q925T2	GP25L
D3YVK5	TIMM10B
Q7TR93	OLFR1016
Q8CHW6	FANCC
A0A0R4J0K9	AP5M1
A0A0R4J252	SLC6A17
A0A0J9YUB0	PPM1G
A0A0R4J1K3	CCDC151
A0A0B4J1M3	PLEC
Q80TM0	MKIAA4254
A2BIB6	EHF
W6PPR4	ANK3
E9QNQ4	RAPGEF2
Q6PIP8	IGH
A0N262	VK
H7BX37	SCTR
E9PV96	OLFR243
